"Timestamp","IP Address","Event Type","Description"
"2026-04-18 21:17:44","LOCAL","SYSTEM-Information","The system session has transitioned from 1 to 3.    Reason InputAccelerometer     BootId: 21"
"2026-04-18 21:17:24","LOCAL","SYSTEM-Information","The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages."
"2026-04-18 21:17:19","LOCAL","SYSTEM-Information","The system session has transitioned from 0 to 1.    Reason SessionUnlock     BootId: 21"
"2026-04-18 20:54:09","1.449.173.0","SYSTEM-Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.173.0) - Current Channel (Broad)"
"2026-04-18 20:53:21","1.449.173.0","SYSTEM-Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.173.0) - Current Channel (Broad)"
"2026-04-18 20:53:20","LOCAL","SYSTEM-Information","Windows Update started downloading an update."
"2026-04-18 20:53:11","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {9EA82395-E31B-41CA-8DF7-EC1CEE7194DF}   and APPID   {2ED83BAA-B2FD-43B1-99BF-E6149C622692}   to the user NT AUTHORITY\NETWORK SERVICE SID (S-1-5-20) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:49:36","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:46:33","LOCAL","SYSTEM-Information","Service stopped."
"2026-04-18 20:43:48","LOCAL","SYSTEM-Information","This device has updated Secure Boot CA/keys. This device signature information is included here.  DeviceAttributes: FirmwareManufacturer:Dell Inc.;FirmwareVersion:1.42.1;OEMManufacturerName:Dell Inc.;OEMModelSKU:0A2A;OSArchitecture:amd64;  BucketId: 5b0a2bc443c204493cd31ebab2e176c37f0fff43116a086b5c0b1dc6e26f9d2d  BucketConfidenceLevel: Under Observation - More Data Needed  UpdateType: Windows UEFI CA 2023 (DB), Option ROM CA 2023 (DB), 3P UEFI CA 2023 (DB), KEK 2023, Boot Manager (2023)  For more information, please see https://go.microsoft.com/fwlink/?linkid=2301018."
"2026-04-18 20:41:46","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"2026-04-18 20:41:25","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID   Windows.SecurityCenter.WscDataProtection   and APPID   Unavailable   to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:40:55","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:40:51","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {9EA82395-E31B-41CA-8DF7-EC1CEE7194DF}   and APPID   {2ED83BAA-B2FD-43B1-99BF-E6149C622692}   to the user NT AUTHORITY\NETWORK SERVICE SID (S-1-5-20) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:39:43","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID   Windows.SecurityCenter.WscCloudBackupProvider   and APPID   Unavailable   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:39:41","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID   Windows.SecurityCenter.WscCloudBackupProvider   and APPID   Unavailable   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"2026-04-18 20:39:39","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"2026-04-18 20:39:17","LOCAL","SYSTEM-Information","Power source change."
"2026-04-18 20:39:04","LOCAL","SYSTEM-Information","User Logon Notification for Customer Experience Improvement Program"
"2026-04-18 20:38:42","LOCAL","SYSTEM-Information","The TPM was successfully provisioned and is now ready for use."
"2026-04-18 20:38:40","LOCAL","SYSTEM-Information","The TBS device identifier has been generated."
"2026-04-18 20:38:38","LOCAL","SYSTEM-Information","WLAN AutoConfig service has successfully started."
"2026-04-18 20:38:38","LOCAL","SYSTEM-Information","This event triggers the Trusted Platform Module (TPM) provisioning/status check to run."
"2026-04-18 20:38:38","LOCAL","SYSTEM-Information","The following boot-start or system-start driver(s) did not load:   dam"
"2026-04-18 20:38:37","LOCAL","SYSTEM-Information","Pre-attestation health checks confirm that the device is expected to pass attestation.   Please see C:\WINDOWS\Logs\MeasuredBoot\0000000021-0000000000.json for detailed information on what checks were made."
"2026-04-18 20:38:37","LOCAL","SYSTEM-Information","Pre-attestation health check detailed information: {""Version"":1,""HealthStatus"":""Attestable"",""Required"":[{""Field"":""TpmPresent"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmMeetsMinimumVersion"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmIsResponsive"",""Value"":true,""DesiredValue"":true},{""Field"":""EkCertIsAvailable"",""Value"":true,""DesiredValue"":true},{""Field"":""TcgLogFound"",""Value"":true,""DesiredValue"":true}],""Expected"":[{""Field"":""PcrsMatchTcgLog"",""Value"":true,""DesiredValue"":true}],""Informational"":[{""Field"":""SecureBootEnabled"",""ValueFromComputer"":true,""ValueFromTcgLog"":true,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""VirtualSecureMemory"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""SecureCorePCCompliant"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true}{""Field"":""BootTcgLogFoundInFileSystem"",""Value"":true,""DesiredValue"":true},{""Field"":""CurrentTcgLogFoundInFileSystem"",""Value"":true,""DesiredValue"":true}]}"
"2026-04-18 20:38:36","LOCAL","SYSTEM-Information","Found passthru disk: SCSI Port: 0, SCSI Bus: 3, SCSI Target: 0, PCIe SSD, 256060514304 bytes, KBG40ZNS256G NVMe KIOXIA 256GB"
"2026-04-18 20:38:36","LOCAL","SYSTEM-Information","Found passthru disk: SCSI Port: 0, SCSI Bus: 0, SCSI Target: 0, SATA HDD, 1000204886016 bytes, TOSHIBA MQ04ABF100"
"2026-04-18 20:38:35","LOCAL","SYSTEM-Information","Service started."
"2026-04-18 20:38:34","LOCAL","SYSTEM-Information","Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe (process ID:4720) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}"
"2026-04-18 20:38:34","LOCAL","SYSTEM-Information","Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe (process ID:4720) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL https://*:5358/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://+:80/Temporary_Listen_Addresses/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","Attempted to reserve URL http://*:5357/. Status 0x0. Process Id 0x4 Executable path , User S-1-5-18"
"2026-04-18 20:38:33","LOCAL","SYSTEM-Information","DHCPv6 client service is started"
"2026-04-18 20:38:32","LOCAL","SYSTEM-Information","DHCPv4 client service is started"
"2026-04-18 20:38:32","LOCAL","SYSTEM-Information","DHCPv4 client registered for shutdown notification"
"2026-04-18 20:38:32","LOCAL","SYSTEM-Information","DHCPv4 client service is started"
"2026-04-18 20:38:32","LOCAL","SYSTEM-Information","Touch/Touchpad Hardware Quality Assurance verification succeeded."
"2026-04-18 20:38:32","LOCAL","SYSTEM-Information","File System Filter 'bindflt' (10.0, ?2081?-?10?-?18T03:04:26.000000000Z) has successfully loaded and registered with Filter Manager."
"+ CategoryInfo          : ObjectNotFound: (:)","LOCAL","Get-WinEvent",", Exception"
