"Timestamp","IP Address","Event Type","Description","Data Mode","Data Source"
"2026-04-20 12:00:00","LOCAL","SYSTEM-Information","The system uptime is 141696 seconds.","REAL","REAL"
"2026-04-20 11:59:21","LOCAL","SYSTEM-Warning","Name resolution for the name s4.vip.wpscdn.cn timed out after none of the configured DNS servers responded. Client PID 6928.","REAL","REAL"
"2026-04-20 11:20:52","LOCAL","SYSTEM-Information","Service stopped.","REAL","REAL"
"2026-04-20 11:20:45","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 11:16:37","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","REAL","REAL"
"2026-04-20 11:15:32","LOCAL","SYSTEM-Information","Power source change.","REAL","REAL"
"2026-04-20 11:14:30","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","REAL","REAL"
"2026-04-20 11:12:53","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}   and APPID   {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}   to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 11:12:53","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}   and APPID   {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}   to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 11:12:51","LOCAL","SYSTEM-Information","User Logon Notification for Customer Experience Improvement Program","REAL","REAL"
"2026-04-20 11:12:51","LOCAL","SYSTEM-Information","Volume E: (\Device\HarddiskVolume3) is healthy.  No action is needed.","REAL","REAL"
"2026-04-20 11:12:50","LOCAL","SYSTEM-Information","Volume D: (\Device\HarddiskVolume2) is healthy.  No action is needed.","REAL","REAL"
"2026-04-20 11:12:50","LOCAL","SYSTEM-Information","Volume F: (\Device\HarddiskVolume4) is healthy.  No action is needed.","REAL","REAL"
"2026-04-20 11:12:49","LOCAL","SYSTEM-Information","This event contains the boot-time final TPM PCR values and TCG log data.","REAL","REAL"
